0.5,114,286,453,619,783,946,1107,1268,1427,1585,1744,1.5,1.75
1,121,277,437,597,753,909,1067,1224,1378,1532,1686,,
1.125,120,281,441,600,760,919,1078,1236,1393,1549,1706,,
1.25,123,285,447,609,769,929,1090,1250,1410,1570,1730,,
1.375,124,285,450,615,777,939,1104,1268,1429,1590,1751,,
1.5,123,288,453,617,783,948,1113,1278,1443,1608,1773,,
1.625,122,286,453,619,784,948,1114,1280,1446,1612,1778,,
1.75,119,282,448,614,779,943,1110,1277,1443,1608,1774,,
1.875,116,280,443,606,771,935,1100,1264,1430,1596,1762,,
2,115,273,435,596,756,916,1080,1244,1408,1572,1736,,
2.125,112,266,423,579,737,894,1055,1215,1377,1539,1701,,
2.25,108,254,404,554,706,858,1013,1168,1328,1488,1648,,
2.375,97,228,369,510,654,797,947,1096,1251,1405,1560,,
2.5,60,160,295,430,565,700,845,990,1145,1300,1455,,
2.625,0,0,0,0,0,0,0,0,0,0,0,,
