0.5,249,547,842,1137,1435,1732,2026,2319,2612,2904,3196,1.75,2
1,247,533,819,1104,1396,1688,1979,2270,2561,2852,3143,,
1.125,248,534,821,1108,1402,1695,1988,2281,2575,2868,3161,,
1.25,248,535,824,1112,1408,1703,1999,2294,2590,2886,3181,,
1.375,245,533,823,1112,1409,1705,2002,2299,2597,2894,3192,,
1.5,243,532,821,1110,1407,1704,2002,2299,2598,2896,3195,,
1.625,237,525,813,1100,1396,1691,1989,2286,2585,2883,3181,,
1.75,233,516,802,1088,1382,1676,1972,2268,2566,2864,3162,,
1.875,224,504,784,1064,1355,1646,1939,2232,2529,2826,3122,,
2,217,489,764,1039,1326,1612,1902,2192,2487,2781,3076,,
2.125,201,462,726,989,1268,1547,1831,2114,2405,2696,2987,,
2.25,183,429,679,929,1199,1469,1747,2024,2310,2596,2882,,
2.375,122,326,537,747,985,1223,1489,1754,2039,2324,2609,,
2.5,58,217,386,555,759,962,1214,1465,1748,2031,2314,,
2.625,0,0,0,0,0,0,0,0,0,0,0,,
