0.5,111,305,499,693,888,1082,1273,1463,1656,1848,2040,1.75,2
1,106,294,483,671,862,1052,1240,1427,1619,1811,2003,,
1.125,107,297,488,678,871,1064,1254,1443,1638,1832,2026,,
1.25,108,300,494,687,883,1078,1270,1461,1659,1857,2055,,
1.375,108,303,498,693,891,1088,1283,1477,1677,1877,2078,,
1.5,108,304,501,697,897,1096,1293,1489,1692,1894,2097,,
1.625,104,301,498,695,895,1095,1293,1491,1696,1900,2104,,
1.75,100,297,494,690,891,1092,1291,1490,1696,1901,2106,,
1.875,95,289,485,681,881,1080,1278,1476,1682,1888,2093,,
2,89,282,476,669,867,1065,1263,1460,1666,1871,2077,,
2.125,83,271,461,650,845,1040,1235,1429,1633,1837,2040,,
2.25,77,259,444,628,819,1010,1202,1393,1594,1795,1996,,
2.375,67,239,414,588,765,942,1126,1309,1507,1704,1902,,
2.5,51,209,372,534,696,858,1031,1204,1401,1597,1794,,
2.625,0,0,0,0,0,0,0,0,0,0,0,,
